Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;77.31638721400658;0;0;421;7;359.813598837;7;0;0;0.0013059163059163058;0.004750593824228029
biosppnw03.txt;73.74633501603502;0;0;47;6;217.871768178;8;2;0;0.0008365905506411574;0.02127659574468085
biosppnw04.txt;30.0847387349945;0;0;26;3;533.128153638;6;3;0;0.0002667215350967437;0.0
biosppnw06.txt;78.07569081259376;0;0;20;6;13.888081223;9;0;0;0.0035593609552865527;0.1
biosppnw07.txt;85.80436902845271;0;0;20;4;5.654488297;8;0;0;0.003093580819798917;0.15
biosppnw08.txt;81.76163434147009;0;0;20;4;0.082119164;3;0;0;0.019873271889400922;0.2
biosppnw09.txt;92.77060883394125;0;0;22;6;1.898987984;8;0;0;0.005550184409352956;0.22727272727272727
biosppnw10.txt;99.22427263684244;0;0;13;7;0.218447359;6;0;0;0.007502930832356388;0.5384615384615384
biosppnw11.txt;94.30782908225012;0;0;28;6;2.332021167;7;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;84.73523172342296;0;0;43;7;0.136897466;6;0;0;0.009384984025559104;0.11627906976744186
biosppnw13.txt;83.56762010009308;0;0;125;6;14.999223021;9;0;0;0.0014405729047628942;0.0
biosppnw14.txt;78.37121698452837;0;0;103;6;520.956327553;6;3;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.127872978;8;0;0;0.017130620985010704;1.0
biosppnw16.txt;1.1281603950428456;0;0;7;2;44.155945156;3;0;0;8.970641333575542e-5;0.2857142857142857
biosppnw17.txt;69.52958149184433;0;0;58;5;844.523995667;7;2;0;0.00033256422002448803;0.05172413793103448
biosppnw18.txt;66.79887815935362;0;0;23;3;11.50636233;10;0;0;0.004852654085711631;0.0
biosppnw19.txt;89.01011611489243;0;0;20;5;2.772049249;8;0;0;0.005094361468102351;0.2
biosppnw20.txt;75.78641921382312;0;0;9;4;0.461238724;9;0;0;0.024655312246553124;0.1111111111111111
biosppnw21.txt;93.88104597904345;0;0;10;5;0.13638999;8;0;0;0.021182360870402463;0.2
biosppnw22.txt;75.07499117280199;0;0;19;4;0.269469914;8;0;0;0.02059773828756058;0.10526315789473684
biosppnw23.txt;91.43357601033692;0;0;6;3;0.234070938;9;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;82.42999850066856;0;0;21;4;1.40403945;9;0;0;0.008459411094843014;0.09523809523809523
biosppnw25.txt;76.38089521153468;0;0;17;4;0.829967521;9;0;0;0.01068200493015612;0.11764705882352941
biosppnw26.txt;61.573326234106716;0;0;19;4;0.643948436;9;0;0;0.016140654272949993;0.0
biosppnw27.txt;95.54194540499411;0;0;12;4;0.404814626;8;0;0;0.007872078720787207;0.16666666666666666
biosppnw28.txt;92.40354848193141;0;0;6;4;0.429798623;8;0;0;0.006611570247933884;0.6666666666666666
biosppnw29.txt;73.22571245320611;0;0;12;3;1.396353776;8;0;0;0.006003937007874016;0.25
biosppnw30.txt;81.14925944972045;0;0;8;2;1.153302749;8;0;0;0.00499434602336977;0.125
biosppnw31.txt;86.75462231386788;0;0;16;3;2.021293225;8;0;0;0.005843559562567827;0.1875
biosppnw32.txt;96.99405934029014;0;0;8;4;0.090745118;6;0;0;0.023431594860166285;0.375
biosppnw33.txt;92.70468812004938;1;1;10;4;4.134035142;9;0;0;0.004382152687237433;0.3
biosppnw34.txt;83.77446816647272;0;0;14;5;0.343500137;9;0;0;0.014089729328883947;0.21428571428571427
biosppnw35.txt;83.11719121812772;0;0;14;5;0.631227615;7;0;0;0.006826604251999219;0.14285714285714285
biosppnw36.txt;89.72922547676548;0;0;10;2;2.330842821;10;0;0;0.007683679192372406;0.1
biosppnw37.txt;82.95314668959274;0;0;10;4;0.426176103;7;0;0;0.016396103896103898;0.4
biosppnw38.txt;47.708932256306255;1;1;8;3;4.279344429;10;0;0;0.007950819672131147;0.25
biosppnw39.txt;65.04924454318154;0;0;12;5;0.239578438;9;0;0;0.015099294272115545;0.08333333333333333
biosppnw40.txt;74.890200086803;0;0;10;3;0.191092732;10;0;0;0.026732673267326736;0.1
biosppnw41.txt;83.74833372317015;0;0;11;3;0.054286472;6;0;0;0.04505076142131979;0.2727272727272727
biosppnw42.txt;95.7031353831583;0;0;10;4;0.714897396;9;0;0;0.010606528678817834;0.2
biosppnw43.txt;80.34047434920849;0;0;21;4;1.971132245;10;0;0;0.012966417910447761;0.09523809523809523
