Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;71.28623546634014;0;0;421;6;668.069944543;4;0;0;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;82.53593110286907;0;0;47;6;637.69859866;3;2;0;0.0008365905506411574;0.06382978723404255
biosppnw04.txt;18.609753843202864;0;0;26;2;1481.393135586;4;5;0;0.0002667215350967437;0.0
biosppnw06.txt;95.74072544401997;0;0;20;6;27.725614927;2;0;0;0.0035593609552865527;0.3
biosppnw07.txt;84.55854199017791;0;0;20;6;12.621988326;6;0;0;0.003093580819798917;0.25
biosppnw08.txt;93.75584210455084;0;0;20;5;0.172578459;1;0;0;0.019873271889400922;0.25
biosppnw09.txt;88.89832678130436;0;0;22;5;6.785074692;5;0;0;0.005550184409352956;0.22727272727272727
biosppnw10.txt;95.88608561438338;0;0;13;5;0.418641381;3;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.5226024952752;0;0;28;5;13.134190526;4;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.201876932;5;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;82.82698356311316;0;0;125;6;46.390431345;7;0;0;0.0014405729047628942;0.008
biosppnw14.txt;75.87851057122197;0;0;103;7;1551.5948523;5;2;0;0.0002909026083997115;0.02912621359223301
biosppnw15.txt;100.0;0;0;2;3;0.359464423;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;52.749004103080374;0;0;7;3;231.255636062;0;0;0;8.970641333575542e-5;0.42857142857142855
biosppnw17.txt;90.49597765826596;0;0;58;6;1157.981057266;2;0;0;0.00033256422002448803;0.08620689655172414
biosppnw18.txt;99.23369452819706;0;0;23;7;27.055005985;2;0;0;0.004852654085711631;0.30434782608695654
biosppnw19.txt;87.45509881168387;0;0;20;5;8.229411778;5;0;0;0.005094361468102351;0.2
biosppnw20.txt;99.7397650118573;0;0;9;7;1.922177864;3;0;0;0.024655312246553124;0.7777777777777778
biosppnw21.txt;97.11818652908333;0;0;10;7;1.078988186;1;0;0;0.021182360870402463;0.7
biosppnw22.txt;70.97630693259853;0;0;19;3;1.314339633;4;0;0;0.02059773828756058;0.15789473684210525
biosppnw23.txt;91.43357601033692;0;0;6;3;0.731809349;8;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;96.38947513626373;0;0;21;6;2.599373582;5;0;0;0.008459411094843014;0.23809523809523808
biosppnw25.txt;81.64377213352192;0;0;17;4;1.96344933;5;0;0;0.01068200493015612;0.17647058823529413
biosppnw26.txt;71.88426922583412;0;0;19;6;1.143648015;6;0;0;0.016140654272949993;0.15789473684210525
biosppnw27.txt;91.34929402062743;0;0;12;4;1.161200159;4;0;0;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;0;0;6;3;1.703101477;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;88.50595584701766;0;0;12;4;4.98995494;4;0;0;0.006003937007874016;0.3333333333333333
biosppnw30.txt;95.92584095608561;0;0;8;4;4.555652774;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;72.35978666734762;0;0;16;6;9.124821317;5;0;0;0.005843559562567827;0.375
biosppnw32.txt;96.99405934029014;0;0;8;4;0.398242904;4;0;0;0.023431594860166285;0.375
biosppnw33.txt;94.31012212635595;0;0;10;5;11.218667124;5;0;0;0.004382152687237433;0.4
biosppnw34.txt;77.76590627922596;0;0;14;7;2.036725005;4;0;0;0.014089729328883947;0.2857142857142857
biosppnw35.txt;92.80612164762472;0;0;14;5;2.056067648;3;0;0;0.006826604251999219;0.35714285714285715
biosppnw36.txt;87.93901895568966;0;0;10;3;7.170305148;8;0;0;0.007683679192372406;0.2
biosppnw37.txt;88.1017287779965;0;0;10;5;1.555879506;3;0;0;0.016396103896103898;0.4
biosppnw38.txt;32.09365171052524;0;0;8;4;4.092955378;9;0;0;0.007950819672131147;0.25
biosppnw39.txt;86.09759839338867;0;0;12;5;1.085593563;4;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;96.21722000421511;0;0;10;4;0.818408594;6;0;0;0.026732673267326736;0.4
biosppnw41.txt;95.98150579068681;0;0;11;8;0.176492743;0;0;0;0.04505076142131979;0.6363636363636364
biosppnw42.txt;93.77763670123473;0;0;10;4;2.338751008;6;0;0;0.010606528678817834;0.3
biosppnw43.txt;91.74273911539474;0;0;21;5;3.722857223;7;0;0;0.012966417910447761;0.19047619047619047
